Table_Name,State_Code,District_Code,Area_Name,Total_Rural_Urban,Age_Group,Total_Disabled_Persons,Total_Disabled_Males,Total_Disabled_Females,Seeing_P,Seeing_M,Seeing_F,Hearing_P,Hearing_M,Hearing_F,Speech_P,Speech_M,Speech_F,Movement_P,Movement_M,Movement_F,Mental_Retardation_P,Mental_Retardation_M,Mental_Retardation_F,Mental_Illness_P,Mental_Illness_M,Mental_Illness_F,Other_Disability_P,Other_Disability_M,Other_Disability_F,Multiple_Disability_P,Multiple_Disability_M,Multiple_Disability_F
C5120ST,9,145,District-Mathura,Rural,40-49,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Rural,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Rural,60-69,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Rural,70-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Rural,80-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Rural,90+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Rural,Age Not Stated,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Urban,Total,24,17,7,9,5,4,3,2,1,0,0,0,3,2,1,2,2,0,1,1,0,6,5,1,0,0,0
C5120ST,9,145,District-Mathura,Urban,0-4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Urban,5-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Urban,10-19,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0
C5120ST,9,145,District-Mathura,Urban,20-29,7,3,4,3,1,2,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0
C5120ST,9,145,District-Mathura,Urban,30-39,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0
C5120ST,9,145,District-Mathura,Urban,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Urban,50-59,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Urban,60-69,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Urban,70-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Urban,80-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Urban,90+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,145,District-Mathura,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Total,Total,184,114,70,49,32,17,47,29,18,4,3,1,25,13,12,7,4,3,1,1,0,45,28,17,6,4,2
C5120ST,9,146,District-Agra,Total,0-4,19,11,8,4,2,2,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,1,1,0
C5120ST,9,146,District-Agra,Total,5-9,25,13,12,8,8,0,2,0,2,1,1,0,1,0,1,3,1,2,0,0,0,10,3,7,0,0,0
C5120ST,9,146,District-Agra,Total,10-19,34,22,12,7,3,4,8,4,4,1,1,0,7,4,3,1,1,0,0,0,0,9,9,0,1,0,1
C5120ST,9,146,District-Agra,Total,20-29,26,17,9,5,3,2,9,8,1,1,0,1,2,1,1,0,0,0,0,0,0,8,5,3,1,0,1
C5120ST,9,146,District-Agra,Total,30-39,23,18,5,5,4,1,7,5,2,1,1,0,2,2,0,1,1,0,0,0,0,6,4,2,1,1,0
C5120ST,9,146,District-Agra,Total,40-49,17,14,3,10,8,2,4,3,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0
C5120ST,9,146,District-Agra,Total,50-59,9,6,3,0,0,0,3,2,1,0,0,0,2,1,1,0,0,0,1,1,0,3,2,1,0,0,0
C5120ST,9,146,District-Agra,Total,60-69,14,7,7,4,1,3,5,3,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,2,2,0
C5120ST,9,146,District-Agra,Total,70-79,12,5,7,4,2,2,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,1,0,1,0,0,0
C5120ST,9,146,District-Agra,Total,80-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Total,90+,3,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Total,Age Not Stated,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Rural,Total,38,22,16,7,5,2,16,8,8,2,1,1,7,3,4,1,1,0,0,0,0,5,4,1,0,0,0
C5120ST,9,146,District-Agra,Rural,0-4,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Rural,5-9,4,3,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
C5120ST,9,146,District-Agra,Rural,10-19,8,2,6,1,1,0,4,0,4,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0
C5120ST,9,146,District-Agra,Rural,20-29,13,9,4,2,1,1,7,6,1,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
C5120ST,9,146,District-Agra,Rural,30-39,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Rural,40-49,4,4,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Rural,50-59,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Rural,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Rural,70-79,3,1,2,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Rural,80-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Rural,90+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Urban,Total,146,92,54,42,27,15,31,21,10,2,2,0,18,10,8,6,3,3,1,1,0,40,24,16,6,4,2
C5120ST,9,146,District-Agra,Urban,0-4,16,11,5,4,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,1,1,0
C5120ST,9,146,District-Agra,Urban,5-9,21,10,11,7,7,0,2,0,2,1,1,0,0,0,0,2,0,2,0,0,0,9,2,7,0,0,0
C5120ST,9,146,District-Agra,Urban,10-19,26,20,6,6,2,4,4,4,0,1,1,0,5,4,1,1,1,0,0,0,0,8,8,0,1,0,1
C5120ST,9,146,District-Agra,Urban,20-29,13,8,5,3,2,1,2,2,0,0,0,0,2,1,1,0,0,0,0,0,0,5,3,2,1,0,1
C5120ST,9,146,District-Agra,Urban,30-39,21,16,5,5,4,1,7,5,2,0,0,0,1,1,0,1,1,0,0,0,0,6,4,2,1,1,0
C5120ST,9,146,District-Agra,Urban,40-49,13,10,3,8,6,2,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
C5120ST,9,146,District-Agra,Urban,50-59,8,5,3,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,1,1,0,3,2,1,0,0,0
C5120ST,9,146,District-Agra,Urban,60-69,14,7,7,4,1,3,5,3,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,2,2,0
C5120ST,9,146,District-Agra,Urban,70-79,9,4,5,3,2,1,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,1,0,1,0,0,0
C5120ST,9,146,District-Agra,Urban,80-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Urban,90+,3,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,146,District-Agra,Urban,Age Not Stated,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Total,Total,47,24,23,2,2,0,32,14,18,1,0,1,4,3,1,2,1,1,0,0,0,6,4,2,0,0,0
C5120ST,9,147,District-Firozabad,Total,0-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Total,5-9,6,1,5,0,0,0,5,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Total,10-19,10,4,6,0,0,0,7,2,5,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Total,20-29,6,4,2,0,0,0,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
C5120ST,9,147,District-Firozabad,Total,30-39,10,6,4,1,1,0,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Total,40-49,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
C5120ST,9,147,District-Firozabad,Total,50-59,6,4,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
C5120ST,9,147,District-Firozabad,Total,60-69,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Total,70-79,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Total,80-89,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
C5120ST,9,147,District-Firozabad,Total,90+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Total,Age Not Stated,3,1,2,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Rural,Total,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0
C5120ST,9,147,District-Firozabad,Rural,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Rural,5-9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Rural,10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Rural,20-29,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Rural,30-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Rural,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Rural,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Rural,60-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Rural,70-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Rural,80-89,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
C5120ST,9,147,District-Firozabad,Rural,90+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Urban,Total,44,23,21,2,2,0,32,14,18,1,0,1,3,2,1,1,1,0,0,0,0,5,4,1,0,0,0
C5120ST,9,147,District-Firozabad,Urban,0-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Urban,5-9,5,1,4,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Urban,10-19,10,4,6,0,0,0,7,2,5,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Urban,20-29,5,3,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
C5120ST,9,147,District-Firozabad,Urban,30-39,10,6,4,1,1,0,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Urban,40-49,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
C5120ST,9,147,District-Firozabad,Urban,50-59,6,4,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
C5120ST,9,147,District-Firozabad,Urban,60-69,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5120ST,9,147,District-Firozabad,Urban,70-79,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
