Area_Name,Total_Disabled
MADHYA PRADESH,585700
TAMIL NADU,508972
ODISHA,507558
MAHARASHTRA,433412
RAJASTHAN,414490
JHARKHAND,360386
CHHATTISGARH,342794
ANDHRA PRADESH,296386
GUJARAT,258966
WEST BENGAL,220310
KARNATAKA,186204
KERALA,154066
ASSAM,107334
JAMMU & KASHMIR,83440
UDAIPUR,76770
MEGHALAYA,76232
MAYURBHANJ,72306
SURGUJA,56478
BIHAR,54766
NASHIK,54198
BANSWARA,53898
NAGALAND,52618
THANE,52618
SUNDARGARH,49454
MANIPUR,47430
RANCHI,46926
UTTAR PRADESH,46156
DOHAD,45376
DUNGARPUR,42972
KHAMMAM,41038
PASCHIM MEDINIPUR,40810
ARUNACHAL PRADESH,40528
DHAR,40442
KENDUJHAR,36510
VILUPPURAM,35694
KORAPUT,35368
VADODARA,34976
KANCHEEPURAM,34066
BASTAR,33914
VISAKHAPATNAM,33446
JALPAIGURI,33302
RAIGARH,33236
THIRUVALLUR,33018
TRIPURA,33016
NABARANGAPUR,33010
JALGAON,32874
CHENNAI,32652
NANDURBAR,31738
RAYAGADA,31002
JHABUA,30974
DUMKA,29736
CHHINDWARA,29516
MANDLA,29052
VELLORE,29002
MIZORAM,28690
VALSAD,28638
RAIPUR,27856
JASHPUR,26998
BETUL,26912
CHANDRAPUR,26862
CUDDALORE,26340
DHULE,26154
GUMLA,26092
BARWANI,25846
WARANGAL,25118
ADILABAD,25068
KHARGONE (WEST NIMAR),24866
KANDHAMAL,24760
PASHCHIMI SINGHBHUM,24396
JAIPUR,24256
PRATAPGARH,24226
KALAHANDI,24104
SAMBALPUR,23580
BILASPUR,23398
DINDORI,23216
SEONI,22848
YAVATMAL,22786
BALANGIR,22532
SHAHDOL,22394
GODDA,21352
TIRUNELVELI,20992
NAVSARI,20986
SURAT,20868
THIRUVANANTHAPURAM,20636
PURULIYA,20412
NALGONDA,20188
PURBI SINGHBHUM,19948
TAPI,19912
KHANDWA (EAST NIMAR),19872
KORBA,19780
THIRUVARUR,19686
COIMBATORE,19528
NAGPUR,19470
PANCH MAHALS,19070
ALIRAJPUR,19022
DAUSA,18884
BELLARY,18598
RAJNANDGAON,18530
NAGAPATTINAM,18412
PALAKKAD,18372
BARDDHAMAN,18354
DARJILING,18308
UTTAR BASTAR KANKER,18126
PUDUCHERRY,18102
GAJAPATI,17916
TIRUVANNAMALAI,17896
PAKUR,17786
ANUPPUR,17752
MALKANGIRI,17744
DURG,17528
SARAIKELA-KHARSAWAN,17438
SAHIBGANJ,17424
BOKARO,17296
KOLLAM,17262
JABALPUR,17046
AHMADNAGAR,16904
SENAPATI,16788
WEST GARO HILLS,16656
EAST KHASI HILLS,16646
GADCHIROLI,16600
AMRAVATI,16572
SALEM,16306
MAHBUBNAGAR,16174
HIMACHAL PRADESH,15998
MAHASAMUND,15594
BHARUCH,15494
THRISSUR,15470
RATLAM,15416
BANKURA,15176
BARGARH,15150
RAICHUR,15042
REWA,14848
SABAR KANTHA,14836
DINDIGUL,14782
RANGAREDDY,14720
THANJAVUR,14642
TIRUCHIRAPPALLI,14614
PUNE,14480
MADURAI,14448
JHARSUGUDA,14384
SIMDEGA,14096
NORTH TWENTY FOUR PARGANAS,14080
KORIYA,14048
BALESHWAR,14032
KARBI ANGLONG,13994
SAWAI MADHOPUR,13898
BANGALORE,13748
DAKSHIN BASTAR DANTEWADA,13732
KATNI,13710
KARAULI,13588
BALAGHAT,13372
ERNAKULAM,13314
ERODE,13242
LATEHAR,13220
SINGRAULI,13170
TIRUPPUR,13122
BARAN,13104
MYSORE,13102
MALAPPURAM,13086
WEST TRIPURA,13074
SATNA,13028
NANDED,12938
UTTARAKHAND,12858
NUAPADA,12788
EAST GODAVARI,12706
BUNDI,12448
NARMADA,12394
JAMTARA,12336
DHANBAD,12300
VIRUDHUNAGAR,12288
NAMAKKAL,12242
WEST KHASI HILLS,12190
ALAPPUZHA,12186
ALWAR,12076
UMARIA,12074
KOZHIKODE,12070
CHITRADURGA,12068
BIDAR,12008
THOOTHUKKUDI,11876
KHUNTI,11856
SIDHI,11724
SONBHADRA,11618
SIKKIM,11584
BELGAUM,11568
MALDAH,11518
SRI POTTI SRIRAMULU NELLORE,11280
ANANTNAG,11208
MON,11206
VIZIANAGARAM,11138
RAJOURI,11106
PALAMU,10960
SIROHI,10866
DEOGHAR,10564
DAKSHIN DINAJPUR,10148
JANJGIR - CHAMPA,10104
BHILWARA,10074
ANANTAPUR,9922
JAINTIA HILLS,9904
NIZAMABAD,9892
AIZAWL,9876
THENI,9784
TUMKUR,9740
CHITTAURGARH,9670
KOPPAL,9626
BAKSA,9388
LOHARDAGA,9286
INDORE,9254
BIJAPUR,9194
DEWAS,9184
PASHCHIM CHAMPARAN,9170
UDALGURI,9122
GUNTUR,9076
HOSHANGABAD,9010
DAVANAGERE,9006
PATHANAMTHITTA,8990
PURNIA,8964
ANUGUL,8962
SAGAR,8824
RAISEN,8788
DHENKANAL,8788
SOUTH TRIPURA,8786
KOTA,8782
GIRIDIH,8710
PUDUKKOTTAI,8708
TONK,8678
KRISHNAGIRI,8624
SIVAGANGA,8614
UKHRUL,8564
RAMANATHAPURAM,8554
JHALAWAR,8550
HUGLI,8524
EAST GARO HILLS,8476
DHARMAPURI,8366
DADRA & NAGAR HAVELI,8308
SHIVPURI,8288
PUNCH,8172
KOTTAYAM,8168
JALOR,8092
GONDIYA,8030
BIRBHUM,8008
BARMER,7962
CHANDEL,7798
AURANGABAD,7634
CUTTACK,7616
KRISHNA,7590
SEHORE,7582
ARIYALUR,7542
CHURACHANDPUR,7490
DHAMTARI,7462
RIBHOI,7396
THE NILGIRIS,7286
PALI,7260
PERAMBALUR,7232
CHIKKABALLAPURA,7186
MEDAK,7142
GOALPARA,7130
GOA,7092
RAJSAMAND,7090
KABEERDHAM,7056
CHITTOOR,6996
HAVERI,6966
DHEMAJI,6926
DHALAI,6914
GARHWA,6884
KARGIL,6870
SRIKAKULAM,6802
KARUR,6762
GANJAM,6760
SONITPUR,6632
TUENSANG,6578
KOKRAJHAR,6404
WARDHA,6402
KUSHINAGAR,6334
BURHANPUR,6282
LAKSHADWEEP,6276
RAMGARH,6242
KATIHAR,6180
HARDA,6116
JODHPUR,6114
DEBAGARH,6086
MUMBAI SUBURBAN,6060
THE DANGS,6042
NARSIMHAPUR,6014
YADGIR,6006
DAMOH,6004
KARIMNAGAR,5916
BHANDARA,5892
BALLIA,5870
KAMRUP,5828
BULDANA,5818
JAJAPUR,5786
IDUKKI,5750
UDHAM SINGH NAGAR,5722
AHMADABAD,5648
CHIRANG,5620
UTTAR DINAJPUR,5608
PRAKASAM,5592
BANAS KANTHA,5508
KHORDHA,5338
PANNA,5282
SOUTH TWENTY FOUR PARGANAS,5250
MOKOKCHUNG,5198
CHAMBA,5168
BANDIPORE,5132
LAKHIMPUR,5132
DIMAPUR,5096
GUNA,4990
ZUNHEBOTO,4984
SOUTH GARO HILLS,4964
BAGALKOT,4930
BHOPAL,4902
TAMENGLONG,4842
NAYAGARH,4840
AKOLA,4836
HYDERABAD,4782
DEORIA,4736
KUPWARA,4720
HINGOLI,4696
KOHIMA,4672
CHAMARAJANAGAR,4660
KURUNG KUMEY,4640
BANKA,4610
PHEK,4594
SHEOPUR,4572
SOUTH GOA,4506
NADIA,4468
MORIGAON,4418
KURNOOL,4416
LEH(LADAKH),4376
SOLAPUR,4330
NORTH TRIPURA,4242
HAZARIBAGH,4132
WEST GODAVARI,4126
DEHRADUN,4004
KANNUR,3996
DHARWAD,3984
EAST DISTRICT,3982
WOKHA,3966
LATUR,3904
PAPUM PARE,3878
GULBARGA,3848
NARAYANPUR,3780
TIRAP,3718
WASHIM,3694
JORHAT,3670
CHAMPHAI,3634
GANDERBAL,3634
LUNGLEI,3556
UPPER SUBANSIRI,3502
WEST SIANG,3466
DIBRUGARH,3454
SIWAN,3340
NAGAON,3330
GOLAGHAT,3310
Y.S.R.,3258
KOLAR,3234
MURSHIDABAD,3226
KANGRA,3216
CHHATARPUR,3206
DIMA HASAO,3200
JAMUI,3194
JAMMU,3158
EAST KAMENG,3144
EAST SIANG,3138
KATHUA,3134
PARBHANI,3062
SOUTH DISTRICT,3052
WEST KAMENG,3044
BAUDH,3006
WEST DISTRICT,2996
REASI,2984
AJMER,2984
SUBARNAPUR,2938
LAWNGTLAI,2918
GADAG,2892
KASARAGOD,2848
KAMRUP METROPOLITAN,2834
NEEMUCH,2760
VIDISHA,2688
KINNAUR,2668
BHAGALPUR,2654
KANNIYAKUMARI,2652
KULGAM,2648
NORTH GOA,2586
MAMIT,2534
CHANGLANG,2530
DAKSHINA KANNADA,2526
ASHOKNAGAR,2490
GOPALGANJ,2474
KOLASIB,2470
RAJGARH,2454
JALNA,2426
SHIMOGA,2410
LOWER SUBANSIRI,2394
PEREN,2380
SIKAR,2362
KISHTWAR,2332
BHARATPUR,2262
GWALIOR,2258
UDHAMPUR,2198
DODA,2190
TINSUKIA,2116
BANGALORE RURAL,2068
JAISALMER,2058
TIKAMGARH,2052
OSMANABAD,2052
KARAIKAL,2008
KIPHIRE,1992
RAMBAN,1990
TAWANG,1960
LONGLENG,1952
SERCHHIP,1930
WAYANAD,1918
PULWAMA,1876
DHAULPUR,1860
BARAMULA,1858
JUNAGADH,1846
SATARA,1788
KAIMUR (BHABUA),1782
SAIHA,1772
MUMBAI,1770
UJJAIN,1754
SARAN,1654
LALITPUR,1652
SHAJAPUR,1642
KOLHAPUR,1638
CHIKMAGALUR,1612
UDUPI,1562
JHUNJHUNUN,1558
NORTH  DISTRICT,1554
BID,1540
KISHANGANJ,1524
BHADRAK,1504
VARANASI,1470
KHERI,1468
BADGAM,1468
LOHIT,1454
SIVASAGAR,1450
CHAMOLI,1448
KODAGU,1418
GHAZIPUR,1346
CHANDAULI,1340
ROHTAS,1338
UTTARA KANNADA,1318
UPPER SIANG,1286
SOLAN,1284
SANGLI,1274
CHATRA,1262
LOWER DIBANG VALLEY,1260
KHEDA,1224
LAHUL & SPITI,1204
HASSAN,1098
BUXAR,1092
MANDSAUR,1064
JAMNAGAR,1064
PURBA MEDINIPUR,1028
MANDYA,1018
ARARIA,982
BHOJPUR,958
IMPHAL WEST,944
SHUPIYAN,924
NALBARI,874
CACHAR,872
IMPHAL EAST,844
GORAKHPUR,842
KACHCHH,792
PATNA,788
SAMBA,780
HAORA,766
ALLAHABAD,758
MAU,756
PITHORAGARH,752
RAMANAGARA,744
MAHRAJGANJ,744
ANJAW,738
BALRAMPUR,736
RAJKOT,736
RATNAGIRI,700
KOCH BIHAR,686
ANAND,684
SRINAGAR,682
MIRZAPUR,650
NAGAUR,638
KOLKATA,638
BAREILLY,604
SURENDRANAGAR,588
HANUMANGARH,550
BARPETA,538
SUPAUL,518
MANDI,516
BONGAIGAON,508
MUNGER,504
GANDHINAGAR,498
PURBA CHAMPARAN,496
PORBANDAR,494
BAHRAICH,486
KULLU,472
KENDRAPARA,464
DATIA,448
MORENA,436
LUCKNOW,434
JAUNPUR,428
GANGANAGAR,422
JAGATSINGHAPUR,422
PURI,408
PATAN,404
DAMAN & DIU,400
DAMAN,398
SIDDHARTHNAGAR,378
DIBANG VALLEY,376
SINDHUDURG,376
AZAMGARH,370
AGRA,368
JHANSI,340
MAHESANA,340
SHIMLA,332
CHURU,318
HARDWAR,308
GHAZIABAD,308
MUZAFFARPUR,304
BHAVNAGAR,302
SIRMAUR,302
YANAM,282
UNA,282
BHIND,256
KANPUR NAGAR,254
BIKANER,248
AMRELI,246
DHUBRI,244
NAWADA,242
MADHEPURA,222
GAYA,214
NAINITAL,210
DARRANG,208
SAHARSA,192
SITAMARHI,192
LAKHISARAI,188
MADHUBANI,172
UTTARKASHI,160
HAMIRPUR,148
VAISHALI,144
KODARMA,144
MEERUT,136
SHRAWASTI,134
PILIBHIT,132
UNNAO,126
KARIMGANJ,110
BEGUSARAI,110
BISHNUPUR,100
SAMASTIPUR,98
BASTI,98
SAHARANPUR,98
FIROZABAD,94
DARBHANGA,92
BIJNOR,88
NALANDA,88
BAGESHWAR,80
GARHWAL,72
FAIZABAD,66
GAUTAM BUDDHA NAGAR,66
SITAPUR,62
MATHURA,60
THOUBAL,60
ALIGARH,58
RAE BARELI,56
SANT RAVIDAS NAGAR (BHADOHI),50
JEHANABAD,48
KANPUR DEHAT,48
BARA BANKI,46
KHAGARIA,46
GONDA,44
CHAMPAWAT,42
SHEIKHPURA,38
JALAUN,38
SANT KABIR NAGAR,36
SHEOHAR,34
MAHOBA,34
MORADABAD,34
ARWAL,30
BULANDSHAHR,28
ALMORA,26
AMBEDKAR NAGAR,24
SULTANPUR,24
TEHRI GARHWAL,22
HAILAKANDI,22
FATEHPUR,22
MUZAFFARNAGAR,18
SHAHJAHANPUR,16
MAINPURI,14
ETAH,14
AURAIYA,14
RUDRAPRAYAG,12
HARDOI,10
MAHE,8
CHITRAKOOT,8
KANSHIRAM NAGAR,6
JYOTIBA PHULE NAGAR,6
RAMPUR,6
ETAWAH,4
FARRUKHABAD,4
KAUSHAMBI,2
MAHAMAYA NAGAR,2
KANNAUJ,2
DIU,2
